league,game,half,timestamp,type,anonymized,predicted_res_0
spain_laliga_2016-2017,2016-09-24 - 21-45 Las Palmas 2 - 2 Real Madrid,1,2392,,is penalised for holding. [REFEREE] signals a set piece.,[PLAYER] ([TEAM]) was too fierce in his attempt to get the ball from his opponent's body and [REFEREE] blows for a foul. [TEAM] get a free kick which could lead to a goal-scoring opportunity.
europe_uefa-champions-league_2015-2016,2015-11-25 - 22-45 Shakhtar Donetsk 3 - 4 Real Madrid,2,1555,substitution,That will be all from [PLAYER] who is being replaced by the fresh legs of [PLAYER] ([TEAM]).,Goal! [PLAYER] ([TEAM]) was in the right place at the right time to tuck the ball into the back of the net after the rebound fell to him. The score is 2:0.
spain_laliga_2016-2017,2017-03-12 - 22-45 Real Madrid 2 - 1 Betis,2,1755,corner,A dangerous looking corner kick from [PLAYER] ([TEAM]) is cleared to safety by the defence.,"[PLAYER] ([TEAM]) steps up to take the corner. He launches the ball into the penalty area, but it only finds the head of an opposing player who clears the danger."
europe_uefa-champions-league_2014-2015,2015-02-24 - 22-45 Manchester City 1 - 2 Barcelona,2,2243,,"Good clearance! [PLAYER] ([TEAM]) received a low pass, but he didn't have time to do anything as one of the defenders quickly stole the ball off him.",The foul by [PLAYER] ([TEAM]) is worthy of a card and a yellow is duly shown by [REFEREE].
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2717,y-card,[PLAYER] ([TEAM]) gets a yellow card. The referee [REFEREE] made the right call.,[PLAYER] ([TEAM]) makes a rough challenge and [REFEREE] blows his whistle for a foul. [TEAM] earn a free kick.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2690,,[PLAYER] ([TEAM]) is penalised for a foul. [REFEREE] had a clear view and blows his whistle.,"The game is interrupted now, [PLAYER] ([TEAM]) picks up a knock and the physio has to come on."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2581,,"What a wasted opportunity by [PLAYER] ([TEAM])! He creates some space for himself inside the penalty box and unleashes a decent strike towards the middle of the net, but [PLAYER] makes a comfortable save to thwart him.",[PLAYER] ([TEAM]) takes the corner but it doesn't go more than a few metres before being cleared.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2518,,[PLAYER] ([TEAM]) makes a strong challenge and [REFEREE] blows for a foul.,"[PLAYER] ([TEAM]) attempts to curl the ball over the wall from the free kick from the edge of the box, but it goes just wide of the left post."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2399,soccer-ball,Goal! That was a fantastic finish by [PLAYER] ([TEAM]) from just outside the box. He wasted little time in getting away a bullet of a shot that flew past the goalkeeper into the left side of the net.,[PLAYER] ([TEAM]) finds himself unmarked inside the box and takes advantage of the situation by firing the ball into the back of the net. [PLAYER] ([TEAM]) makes it 0:2.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2281,substitution,The manager makes a subsitution with [PLAYER] ([TEAM]) coming on for [PLAYER].,The referee stops play so that a substitution can be made and [PLAYER] trots off the pitch and is replaced by [PLAYER] ([TEAM]).
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2105,,"[PLAYER] ([TEAM]) gets into a good scoring position. He creates some space for himself and tries his luck from distance. His decent effort towards the right post is, however, superbly saved by [PLAYER]!",The players are back out on the pitch following the half-time break and the second half is about to start.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2103,y-card,"[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests.",The half-time break is over and the second half is about to start.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2036,soccer-ball,[PLAYER] delivers a well-placed cross from the corner. [PLAYER] ([TEAM]) wins the ball and powers an unstoppable header in off the right post. The score now reads 2:0.,[PLAYER] ([TEAM]) takes the corner which is cleared. The ball is out of play. [TEAM] are awarded a corner kick.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2035,corner,[PLAYER] ([TEAM]) is heading toward the corner flag to take the set piece.,[PLAYER] ([TEAM]) takes the corner which is cleared. The ball is out of play. [TEAM] are awarded a corner kick.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2030,substitution,[COACH] has decided to make a change. [PLAYER] ([TEAM]) replaces [PLAYER].,[PLAYER] ([TEAM]) will take a corner kick after reaching the ball before one of the defenders.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2013,substitution,[PLAYER] will be replaced by [PLAYER] ([TEAM]).,The referee stops play so that a substitution can be made and [PLAYER] leaves the pitch and [PLAYER] ([TEAM]) comes on.
