game,timestamp,type,anonymized,predicted_res_0
-E79qAYLfcU,0,whistle,Hello everyone and welcome to our live coverage of the early Sunday kickoff in Serie A as [TEAM] host [TEAM] and there's lots to look forward to here.,"The game is interrupted now, [PLAYER] ([TEAM]) picks up a knock and the physio has to come on."
-E79qAYLfcU,8,,Both teams in great form.,The referee stops play so that a substitution can be made and [PLAYER] leaves the pitch and [PLAYER] ([TEAM]) comes on.
-E79qAYLfcU,10,,The question is can [TEAM] continue their recent revival?,"[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests."
-E79qAYLfcU,19,,A little bit of a stretch for Perišić he couldn't get to the ball. Iliĉić has got it.,The half-time break is over and the second half is about to start.
-E79qAYLfcU,24,,He just skips away from Brozović.,"[PLAYER] ([TEAM]) goes on a solo run, but he fails to create a chance as an opposition player blocks him. The ball goes out of play and [TEAM] will have a goal kick."
-E79qAYLfcU,26,,This is a really bright start here now for [TEAM].,"[PLAYER] ([TEAM]) goes on a solo run, but he fails to create a chance as an opposition player blocks him. The ball goes out of play and [TEAM] will have a goal kick."
-E79qAYLfcU,29,,Gómez with the layoff. This is [PLAYER].,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
-E79qAYLfcU,32,,Good save Handanović. Great chance.,"[PLAYER] ([TEAM]) sends a cross into the box, but [PLAYER] comes off his line to gather the ball."
-E79qAYLfcU,34,,Brilliant double save by [PLAYER] the second one to [PLAYER]ny [PLAYER].,The linesman signals that [PLAYER] ([TEAM]) is offside and the referee confirms the decision.
-E79qAYLfcU,47,,Moving away from Škriniar.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
-E79qAYLfcU,50,,"Pressure really on, and great chance at the far post, and this time [PLAYER] does take the chance.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
-E79qAYLfcU,55,,[TEAM] have reward for their early dominance insi[PLAYER] the opening 10 minutes. They lead [TEAM] 1-0.,Goal! [PLAYER] ([TEAM]) was first to react to the rebound inside the box and he slams the ball into the back of the net. The score is 0:1.
-E79qAYLfcU,62,whistle,Thoroughly [PLAYER]served. They've started absolutely brilliantly taking the game to [TEAM] from the first whistle.,The ball is cleared after [PLAYER] ([TEAM]) attempted to dribble past an opposing player. The ball goes out of play and [TEAM] will have a goal kick.
-E79qAYLfcU,76,,"For the home team, advancing again.","[PLAYER] ([TEAM]) sends a pass into the box, but his attempt is thwarted and cleared. The ball goes out of play and [TEAM] have been awarded a corner kick."
-E79qAYLfcU,77,,"[PLAYER] in. Oh, great chance for Iliĉić.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
-E79qAYLfcU,80,,How on earth was that not two?,"The ball is whipped in from the corner by [PLAYER] ([TEAM]), but one of the defenders gets in the way of the cross."
-E79qAYLfcU,83,,What a chance.,"[PLAYER] ([TEAM]) dinks a cross into the box, but he can't find any of his teammates as the opposition's defence averts the threat. The ball goes out of play and [TEAM] will have a goal kick."
-E79qAYLfcU,90,,"Iliĉić, he's had a couple of chances in this first half.","[PLAYER] ([TEAM]) sends a lofted cross into the penalty area, but he can't find any of his teammates as the ball sails well out of the box."
-E79qAYLfcU,92,,Iliĉić now is going to make a run into the box.,"[PLAYER] ([TEAM]) receives a sweet pass inside the box, but his effort on goal is blocked by the defence. The ball is out of play. [TEAM] will have a chance to score from a corner."
-E79qAYLfcU,94,,The ball's going to head towards him. [PLAYER] and it's another super save this time with the right hand from Handanović.,The ball is cleared after [PLAYER] ([TEAM]) attempted to dribble past an opposing player. The ball goes out of play and [TEAM] will have a goal kick.
-E79qAYLfcU,107,,The final check of the watch from the referee. We're almost ready to go [TEAM] looking to pick up where they finished off and the ball has only been half-cleared by [PLAYER].,[PLAYER] ([TEAM]) is penalised for a foul. [REFEREE] had a clear view and blows his whistle.
-E79qAYLfcU,119,,[TEAM] sud[PLAYER]nly have got a route back into the game in the opening seconds of the second half here now.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball goes out of play and [TEAM] will have a goal kick."
-E79qAYLfcU,126,whistle,Waits for the whistle.,[PLAYER] ([TEAM]) is penalised for a foul. [REFEREE] had a clear sight of it.
-E79qAYLfcU,132,,It's 1-1. [PLAYER] does it again for inter.,"The ball is whipped in from the corner by [PLAYER] ([TEAM]), but one of the defenders gets in the way of the cross."
-E79qAYLfcU,137,,A route back into the game right at the start of the second half a controversial penalty [PLAYER]cision.,The referee signals that it is time for a substitution and [PLAYER] ([TEAM]) comes onto the pitch so that [PLAYER] can be given a change to cool off.
-E79qAYLfcU,147,,Here's [PLAYER]. In it comes from Josip Iliĉić and it is in.,"The ball is whipped in from the corner by [PLAYER] ([TEAM]), but one of the defenders gets it clear."
-E79qAYLfcU,152,,He has done it. It's [PLAYER] for the third match in a row.,[PLAYER] ([TEAM]) tries to send a pass but it's blocked. The ball goes out of play and [TEAM] have been awarded a corner kick.
-E79qAYLfcU,157,,He gave the penalty away at the start of the second half but he's happier now because he's hea[PLAYER]d his team back in front.,[PLAYER] ([TEAM]) takes the ball to the corner flag and sends it into the box.
-E79qAYLfcU,167,,Time running very short for [TEAM] to try and get anything from this one.,[PLAYER] ([TEAM]) is penalised for a foul. [REFEREE] had a clear view and blows his whistle.
-E79qAYLfcU,175,soccer-ball,"Iliĉić with the [PLAYER]livery, oh, and it is the third goal.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball goes out of play and [TEAM] will have a goal kick."
