league,game,half,timestamp,type,anonymized,predicted_res_0
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2749,y-card,[PLAYER] ([TEAM]) gets a yellow card. The referee [REFEREE] made the right call.,The foul by [PLAYER] ([TEAM]) is worthy of a card and a yellow is duly shown by [REFEREE].
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2681,,[PLAYER] ([TEAM]) is penalised for a foul. [REFEREE] had a clear view and blows his whistle.,The linesman signals that [PLAYER] ([TEAM]) is offside and the referee confirms the decision.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2571,,"What a wasted opportunity by [PLAYER] ([TEAM])! He creates some space for himself inside the penalty box and unleashes a decent strike towards the middle of the net, but [PLAYER] makes a comfortable save to thwart him.","[PLAYER] ([TEAM]) tries his luck with a shot from the edge of the box after receiving a good pass. His effort goes low towards the middle of the goal, but [PLAYER] is alert and makes a comfortable save."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2500,,[PLAYER] ([TEAM]) makes a strong challenge and [REFEREE] blows for a foul.,"[REFEREE] shows a yellow card to [PLAYER] ([TEAM]), who isn't surprised as the tackle was really hard and late. [TEAM] earn a free kick which could lead to a goal-scoring opportunity."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2352,soccer-ball,Goal! That was a fantastic finish by [PLAYER] ([TEAM]) from just outside the box. He wasted little time in getting away a bullet of a shot that flew past the goalkeeper into the left side of the net.,Goal! [PLAYER] ([TEAM]) was in the right place at the right time to pounce on the rebound inside the box and he unleashes a low shot into the middle of the net. He makes it 0:2.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2277,substitution,The manager makes a subsitution with [PLAYER] ([TEAM]) coming on for [PLAYER].,"[COACH] has decided to introduce fresh legs, with [PLAYER] ([TEAM]) replacing [PLAYER]."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2167,,"[PLAYER] ([TEAM]) gets into a good scoring position. He creates some space for himself and tries his luck from distance. His decent effort towards the right post is, however, superbly saved by [PLAYER]!","[PLAYER] ([TEAM]) has an effort from the edge of the box, but his shot goes high over the crossbar. The referee blows his whistle to signal the end of the first half and [PLAYER]'s team will go into the dressing room with a one goal lead. The score stands at 1-0."
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2128,y-card,"[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests.",[REFEREE] shows a yellow card to [PLAYER] ([TEAM]) for a tough tackle.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2022,soccer-ball,[PLAYER] delivers a well-placed cross from the corner. [PLAYER] ([TEAM]) wins the ball and powers an unstoppable header in off the right post. The score now reads 2:0.,Goal! [PLAYER] ([TEAM]) was in the right place at the right time to get to the rebound inside the box and gleefully rifle the ball into the back of the net. The score is 0:2.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2020,corner,[PLAYER] ([TEAM]) is heading toward the corner flag to take the set piece.,[PLAYER] ([TEAM]) takes the corner which is cleared by the opposition's defence.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,2001,substitution,[COACH] has decided to make a change. [PLAYER] ([TEAM]) replaces [PLAYER].,The referee stops play so that a substitution can be made and [PLAYER] leaves the pitch and [PLAYER] ([TEAM]) comes on.
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1972,substitution,[PLAYER] will be replaced by [PLAYER] ([TEAM]).,The referee stops play so that a substitution can be made and [PLAYER] ([TEAM]) comes onto the pitch for [PLAYER].
england_epl_2015-2016,2015-08-16 - 18-00 Manchester City 3 - 0 Chelsea,2,1959,,"[PLAYER] ([TEAM]) sends a pass into the penalty area, but the opponent manages to cut it out. [TEAM] have been awarded a corner kick. The referee and one of his assistants both point at the corner flag.",[PLAYER] ([TEAM]) fails to send a pass into the box as his effort is cut out. The ball is out of play. [TEAM] are awarded a corner kick.
