game,timestamp,type,anonymized,predicted_res_0
02n0kR3B7DU,1,,"Hello, good afternoon, and welcome to the [STADIUM].",[COACH] has decided to make a change. [PLAYER] ([TEAM]) replaces [PLAYER].
02n0kR3B7DU,4,,"We're getting ready for live action, round four of the Serie A season.",[COACH] has decided to make a change. [PLAYER] ([TEAM]) replaces [PLAYER].
02n0kR3B7DU,8,,[TEAM] against [TEAM].,[PLAYER] ([TEAM]) makes a reckless foul in order to win the ball from his opponent. [REFEREE] has a clear sight of it and blows his whistle.
02n0kR3B7DU,9,,"The international break is over, and we're very happy to be back in the top flight of Italian football with these two old sides.","[PLAYER] ([TEAM]) takes the corner, but the opposition's defence is ready and clears the ball to safety."
02n0kR3B7DU,17,,The oldest in the country in [TEAM] and [TEAM] as well.,The foul by [PLAYER] ([TEAM]) is worthy of a card and a yellow is duly shown by [REFEREE].
02n0kR3B7DU,22,,"[TEAM]-[TEAM] is underway, and it's the visiting side, [TEAM] going from right to left.",The foul by [PLAYER] ([TEAM]) is worthy of a card and a yellow is duly shown by [REFEREE].
02n0kR3B7DU,35,,"[PLAYER] miss-controls, but fortune favors him now.","A pass by [PLAYER] ([TEAM]) ends up in no man's land, and the attacking effort comes to an end."
02n0kR3B7DU,38,,Rômulo up against Džemaili.,The ball is cleared after [PLAYER] ([TEAM]) attempted to dribble past an opposing player.
02n0kR3B7DU,42,,"Strong running from Rômulo, good athletic stride he has.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
02n0kR3B7DU,46,,"Oh, ref. That's going to be a free kick, and this is a much better position.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
02n0kR3B7DU,49,,Hasty play from [PLAYER].,[REFEREE] blows his whistle after [PLAYER] ([TEAM]) brings one of his opponents down with a strong tackle. [TEAM] earn a free kick which could lead to a goal-scoring opportunity.
02n0kR3B7DU,58,,This is one of the best attacking position so far in the game as Rômulo crosses the ball in.,"The resulting corner, taken by [PLAYER] ([TEAM]), comes to nothing as one of the defenders makes a good clearance."
02n0kR3B7DU,63,,"It meets a head, and flies over the bar.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the effort. The ball is out of play. [TEAM] will have a chance to score from a corner kick."
02n0kR3B7DU,66,,Günter making his full debut.,"The ball is whipped in from the corner by [PLAYER] ([TEAM]), but one of the defenders gets it clear."
