game,timestamp,type,anonymized,predicted_res_0
02n0kR3B7DU,1,,"Hello, good afternoon, and welcome to the [STADIUM].","[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests."
02n0kR3B7DU,4,,"We're getting ready for live action, round four of the Serie A season.","[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests."
02n0kR3B7DU,8,,[TEAM] against [TEAM].,"[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests."
02n0kR3B7DU,9,,"The international break is over, and we're very happy to be back in the top flight of Italian football with these two old sides.","[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests."
02n0kR3B7DU,17,,The oldest in the country in [TEAM] and [TEAM] as well.,"[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests."
02n0kR3B7DU,22,,"[TEAM]-[TEAM] is underway, and it's the visiting side, [TEAM] going from right to left.","[PLAYER] ([TEAM]) is awarded a yellow card for his tackle. He doesn't seem to agree with the decision, but [REFEREE] ignores the protests."
02n0kR3B7DU,35,,"[PLAYER] miss-controls, but fortune favors him now.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
02n0kR3B7DU,38,,Rômulo up against Džemaili.,The ball is cleared after [PLAYER] ([TEAM]) attempted to dribble past an opposing player. The ball is out of play and the linesman points at the corner flag. Corner to [TEAM].
02n0kR3B7DU,42,,"Strong running from Rômulo, good athletic stride he has.","A pass by [PLAYER] ([TEAM]) ends up in no man's land, and the attacking effort comes to an end."
02n0kR3B7DU,46,,"Oh, ref. That's going to be a free kick, and this is a much better position.","[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball goes out of play and [TEAM] will have a goal kick."
02n0kR3B7DU,49,,Hasty play from [PLAYER].,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack. The ball is out of play. [TEAM] win a corner kick."
02n0kR3B7DU,58,,This is one of the best attacking position so far in the game as Rômulo crosses the ball in.,"[PLAYER] ([TEAM]) sends a cross into the box, but the opposition's defence intercepts the ball and breathes a sight of relieved."
02n0kR3B7DU,63,,"It meets a head, and flies over the bar.","[PLAYER] ([TEAM]) takes the free kick and sends the ball into the penalty area, but the opposition's defence is ready and makes a good clearance."
02n0kR3B7DU,66,,Günter making his full debut.,"[PLAYER] ([TEAM]) attempts to find his teammate with a pass from outside the box, but the opposition's defence is quick to react and thwarts the attack."
